omics_code	submission_code	assay_code	assay_name	cas_code
transcriptomics		transcript-rna-seq	rna-seq	stanford
transcriptomics		transcript-rna-seq	rna-seq	mssm
transcriptomics		transcript-rna-seq-splicing	rna-seq	stanford
transcriptomics		transcript-rna-seq-splicing	rna-seq	mssm
epigenomics		epigen-rrbs	RRBS	mssm
epigenomics		epigen-atac-seq	atac-seq	stanford
proteomics	PROT_PR	prot-pr	Global Proteomics	broad_prot
proteomics	PROT_PR	prot-pr	Global Proteomics	pnnl
proteomics	PROT_PH	prot-ph	Phophoproteomics	broad_prot
proteomics	PROT_PH	prot-ph	Phophoproteomics	pnnl
proteomics	PROT_AC	prot-ac	Acetyl proteomics	broad_prot
proteomics	PROT_UB	prot-ub	Protein Ubiquitination	broad_prot
metabolomics-targeted	3HIB	metab-t-3hib	Targeted 3-Hydroxyisobutyric Acid (3-HIB)	duke
metabolomics-targeted	AA	metab-t-aa	Targeted Amino Acids	duke
metabolomics-targeted	AC_DUKE	metab-t-ac-duke	Targeted Acylcarnitines (Duke)	duke
metabolomics-targeted	ACOA	metab-t-acoa	Targeted Acyl-CoA	duke
metabolomics-targeted	BAIBA	metab-t-baiba	Targeted Beta-Aminoisobutyric acid	duke
metabolomics-targeted	CER_DUKE	metab-t-cer-duke	Targeted Ceramide (Duke)	duke
metabolomics-targeted	CONV	metab-t-conv	Targeted Conventional	duke
metabolomics-targeted	KA	metab-t-ka	Targeted Keto Acids	duke
metabolomics-targeted	NUC	metab-t-nuc	Targeted Nucleotides	duke
metabolomics-targeted	OA	metab-t-oa	Targeted Organic Acids	duke
metabolomics-targeted	SPHM	metab-t-sphm	Targeted Sphingomyelin	duke
metabolomics-targeted	OXYLIPNEG	metab-t-oxylipneg	Targeted Oxylipins	emory
metabolomics-targeted	ETAMIDPOS	metab-t-etamidpos	Targeted Ethanolamides	emory
metabolomics-targeted	AC_MAYO	metab-t-ac-mayo	Targeted Acylcarnitines (Mayo)	mayo
metabolomics-targeted	AMINES	metab-t-amines	Targeted Amines	mayo
metabolomics-targeted	CER_MAYO	metab-t-cer-mayo	Targeted Ceramides (Mayo)	mayo
metabolomics-targeted	TCA	metab-t-tca	Targeted Tricarboxylic Acid Cycle 	mayo
metabolomics-untargeted	HILICPOS	metab-u-hilicpos	Untargeted HILIC-Positive	broad_met
metabolomics-untargeted	LRPNEG	metab-u-lrpneg	"Untargeted Lipidomics, Reversed-Phase Negative"	gtech
metabolomics-untargeted	LRPPOS	metab-u-lrppos	"Untargeted Lipidomics, Reversed-Phase Positive"	gtech
metabolomics-untargeted	RPPOS	metab-u-rppos	Untargeted Reversed-Phase Positive	umichigan
metabolomics-untargeted	RPNEG	metab-u-rpneg	Untargeted Reversed-Phase Negative	umichigan
metabolomics-untargeted	IONPNEG	metab-u-ionpneg	Untargeted Ion-Pair Negative	umichigan